pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
United States of America,2022,0-100,3_pillars_10_dims,85.72133804,86.20660091,81.67365015,89.28376304,100.0,89.22102197,82.73737,72.86801168,84.73682128,93.01616383,67.26796535,88.338,80.01328912,99.5
Singapore,2022,0-100,3_pillars_10_dims,84.1162602,89.67926241,68.49824042,94.17127778,100.0,84.46744373,91.06602667,83.18357923,54.68195596,77.66687529,73.14589003,92.284,91.07983333,99.15
United Kingdom,2022,0-100,3_pillars_10_dims,78.54010209,81.80721709,65.56971106,88.24337813,100.0,88.06736168,74.17440667,64.98710002,52.672374,76.60827836,67.42848081,84.138,83.91171828,96.68
Finland,2022,0-100,3_pillars_10_dims,77.59332703,87.80395514,58.70558427,86.27044168,100.0,89.18998943,84.33088,77.69495111,41.50045393,71.72872822,62.88757065,87.95066667,81.90547091,88.96
Canada,2022,0-100,3_pillars_10_dims,77.38916245,84.10594337,64.41014296,83.65140102,100.0,86.96634523,78.69118667,70.7662416,51.71829893,76.84459453,64.66753541,83.368,77.52752156,90.06
Republic of Korea,2022,0-100,3_pillars_10_dims,76.75699843,86.816844,53.95513065,89.49902062,100.0,84.46373288,91.57611667,71.22752646,37.46005003,64.1438185,60.26152344,89.268,95.63675,83.59
France,2022,0-100,3_pillars_10_dims,75.78358408,83.04049701,59.3594424,84.95081284,100.0,84.14350368,84.90431,63.11417437,49.93517277,67.72842483,60.41472959,85.872,78.06768828,90.91
Australia,2022,0-100,3_pillars_10_dims,75.29178001,81.81908125,54.11468623,89.94157255,100.0,86.36005883,76.18916667,64.72709952,35.8706112,63.16072424,63.31272324,83.678,87.14671764,99.0
Japan,2022,0-100,3_pillars_10_dims,75.2536366,81.21898096,56.090212,88.45171684,100.0,84.68085419,73.05203333,67.14303631,36.61897225,70.94529328,60.70637048,86.166,92.82183333,86.37
Netherlands,2022,0-100,3_pillars_10_dims,75.11228339,78.23424407,59.94020309,87.16240301,100.0,68.51625362,79.80272667,64.617996,48.12281364,67.1395932,64.55820242,90.86,84.43149981,86.2
Denmark,2022,0-100,3_pillars_10_dims,74.79016756,83.26029132,58.39463463,82.71557673,100.0,86.78485666,75.67481653,70.5814921,42.82535187,67.4846297,64.87392231,89.354,75.59554467,83.2
Norway,2022,0-100,3_pillars_10_dims,73.0897855,81.10871503,53.43532959,84.7253119,100.0,88.45145867,69.04514987,66.93825157,43.53704677,60.81660185,55.95234014,82.94266667,84.30027545,86.93
Sweden,2022,0-100,3_pillars_10_dims,73.05606154,74.03249059,61.47333601,83.66235803,100.0,68.51443507,80.90088333,46.71464395,43.69143784,72.95865005,67.76992014,90.282,75.22257212,85.48
Taiwan,2022,0-100,3_pillars_10_dims,72.78496134,77.40113829,55.01666192,85.9370838,100.0,61.93368516,77.93367378,69.73719422,35.53288925,64.89084578,64.62625073,88.63433333,78.22138471,90.96
Germany,2022,0-100,3_pillars_10_dims,72.64159902,75.21989624,60.41656762,82.28833321,100.0,68.66548773,74.99590667,57.21819056,46.24231611,72.57441136,62.43297539,84.41,75.50494546,86.95
Austria,2022,0-100,3_pillars_10_dims,71.49081059,76.86406545,53.54861855,84.05974775,100.0,65.43516823,77.03282333,64.98827025,42.62125751,60.4983425,57.52625563,81.048,85.41075758,85.72
China,2022,0-100,3_pillars_10_dims,70.83634174,78.75335119,59.84129666,73.91437736,100.0,73.86205097,82.28366667,58.86768712,57.36487627,66.45875116,55.70026256,82.248,62.55814133,76.94
Ireland,2022,0-100,3_pillars_10_dims,70.75787951,69.89510614,57.5962622,84.78227019,100.0,63.37756577,60.79519667,55.40766213,53.81423549,57.98912334,60.98542778,79.522,76.78714806,98.04
Estonia,2022,0-100,3_pillars_10_dims,70.14246449,80.00297661,51.95297743,78.47143942,100.0,68.50933561,80.96045333,70.54211749,36.49588994,66.9657764,52.39726596,61.936,85.57475,87.9
Israel,2022,0-100,3_pillars_10_dims,70.11641725,63.3278098,64.99719243,82.02424952,50.0,63.97215991,76.20453333,63.13454596,49.63836978,86.97094604,58.38226147,87.758,72.92716667,85.39
Belgium,2022,0-100,3_pillars_10_dims,69.94696786,72.01059176,54.78352623,83.04678558,100.0,63.6462671,66.86514987,57.53095009,43.92260335,63.91483337,56.51314197,80.32,70.32035673,98.5
United Arab Emirates,2022,0-100,3_pillars_10_dims,68.54401914,73.52510744,52.18913371,79.91781628,100.0,49.35051617,88.90762333,55.84229024,35.3298061,57.40761304,63.82998199,84.772,65.91383333,89.07
Switzerland,2022,0-100,3_pillars_10_dims,68.49444385,56.16490963,60.55350841,88.76491352,0.0,85.70971722,67.84223,71.1076913,47.46154881,72.63023426,61.56874217,90.738,86.04371336,89.51
Italy,2022,0-100,3_pillars_10_dims,68.40631647,75.27560073,49.09459497,80.84875373,100.0,80.81780784,69.88961,50.39498507,36.7212898,51.53080122,59.03169389,77.216,74.25916667,91.07
Portugal,2022,0-100,3_pillars_10_dims,68.11883424,74.49935831,49.94699783,79.91014658,100.0,63.65104732,73.3076,61.03878591,35.46315699,53.5975946,60.7802419,80.724,77.21680503,81.79
Luxembourg,2022,0-100,3_pillars_10_dims,67.90883906,82.5719618,43.32012009,77.83443529,100.0,71.00276546,86.58319667,72.70188508,36.15098395,48.99388671,44.8154896,67.66666667,75.30247222,90.53
Spain,2022,0-100,3_pillars_10_dims,67.82500746,71.81627569,48.69740576,82.96134094,100.0,62.61042929,72.45277,52.20190347,37.74843927,51.80473331,56.53904472,83.01,79.35438856,86.52
New Zealand,2022,0-100,3_pillars_10_dims,67.81782093,63.23320591,50.45177683,89.76848005,50.0,66.3241314,74.32697,62.28172223,31.69927278,57.22440326,62.43165446,84.486,88.28887679,96.53
Malaysia,2022,0-100,3_pillars_10_dims,67.37403813,77.69845964,50.26213028,74.16152446,100.0,62.99820577,78.47102667,69.32460612,34.41451929,53.38010013,62.99177142,79.03,74.11008333,69.34
Czech Republic,2022,0-100,3_pillars_10_dims,67.05055789,70.5043067,48.61077863,82.03658835,100.0,57.49247035,66.76231,57.76244646,34.29874046,52.0312786,59.50231683,81.64066667,78.83044685,85.64
Thailand,2022,0-100,3_pillars_10_dims,64.63063705,76.77014929,38.70472434,78.41703751,100.0,72.90010704,77.20139,56.97910013,25.58285953,48.25019662,42.28111687,79.312,76.96216667,78.98
India,2022,0-100,3_pillars_10_dims,63.66522524,75.58427727,48.57987038,66.83152807,100.0,81.7215783,69.44262333,51.17290746,32.64935823,54.00699136,59.08326153,65.396,59.44709876,75.65
Malta,2022,0-100,3_pillars_10_dims,62.75184823,80.64994351,38.80482915,68.80077203,100.0,82.75777147,76.58826,63.25374256,33.07879269,39.90947349,43.42622128,61.352,61.86072844,83.19
Poland,2022,0-100,3_pillars_10_dims,62.65072579,68.72363189,45.05237013,74.17617534,100.0,59.43011428,65.46811667,49.99629661,29.96698863,46.06588316,59.1242386,75.62,66.11638889,80.79
Chile,2022,0-100,3_pillars_10_dims,62.51743318,71.27418214,39.31002131,76.96809609,100.0,57.92390876,66.00994,61.16287978,31.1655976,38.02253172,48.74193462,78.968,73.98741667,77.95
Qatar,2022,0-100,3_pillars_10_dims,62.37304734,69.34169436,41.69938513,76.07806254,100.0,57.18577487,71.40765,48.77335257,30.99125613,41.14219903,52.96470024,61.182,69.60233333,97.45
Brazil,2022,0-100,3_pillars_10_dims,62.36663855,69.62159774,43.43316724,74.04515065,100.0,57.13220186,72.02013,49.33405912,33.07591139,46.24513937,50.97845095,73.318,72.15826846,76.66
Lithuania,2022,0-100,3_pillars_10_dims,62.20182711,74.38544179,43.94614952,68.27389,100.0,64.89006586,72.09971,60.55199131,30.371486,51.85574733,49.61121523,61.468,61.50675,81.85
Saudi Arabia,2022,0-100,3_pillars_10_dims,61.96247066,73.8104046,42.82828195,69.24872541,100.0,46.60518043,87.51431,61.12212798,29.65129665,39.78293861,59.0506106,62.992,74.67725478,70.08
Russian Federation,2022,0-100,3_pillars_10_dims,61.48426081,76.21026672,43.8794013,64.36311441,100.0,74.83123399,71.38691667,58.62291622,23.49074905,46.17446997,61.97298487,36.588,73.23808333,83.26
Slovenia,2022,0-100,3_pillars_10_dims,61.4463947,71.14770746,41.61680906,71.5746676,100.0,58.39744776,70.48838,55.70500206,27.67089353,50.9013787,46.27815495,60.75466667,75.13440698,78.83
Hungary,2022,0-100,3_pillars_10_dims,61.43939487,69.22115865,39.44536155,75.6516644,100.0,57.80896898,65.57966667,53.49599896,32.27681876,41.83496197,44.22430392,75.966,71.18747571,79.8
Indonesia,2022,0-100,3_pillars_10_dims,60.89255185,73.84687089,41.51322073,67.31756391,100.0,61.1958863,72.50501,61.68658726,26.12496591,45.18795245,53.22674383,71.948,60.8605,69.14
Bulgaria,2022,0-100,3_pillars_10_dims,60.33310733,65.69509824,37.56411861,77.74010513,100.0,53.65984719,62.24156333,46.87898245,26.52978837,41.5536786,44.60888885,76.876,74.8212441,81.52
Iceland,2022,0-100,3_pillars_10_dims,59.84295226,50.63279518,49.43944747,79.45661414,0.0,63.92522425,73.19647,65.40948647,34.36120492,62.45012535,51.50701216,65.45466667,83.23414675,89.68
Latvia,2022,0-100,3_pillars_10_dims,59.84242562,70.60740077,39.19491064,69.72496547,100.0,60.7833801,63.62632667,58.01989629,28.85170564,40.12600492,48.60702136,59.33266667,68.9112961,80.93
Colombia,2022,0-100,3_pillars_10_dims,59.37944898,74.27162593,35.05240683,68.81431419,100.0,71.33949158,67.71278333,58.0342288,20.94329187,37.10881416,47.10511447,69.834,61.19308333,75.42
Cyprus,2022,0-100,3_pillars_10_dims,59.14788556,68.34832321,40.90838899,68.18694447,100.0,59.91544539,58.98399667,54.49385077,32.02784948,45.17043257,45.52688493,57.62666667,64.65847222,82.28
Turkey,2022,0-100,3_pillars_10_dims,58.97375556,75.48372128,39.93284532,61.50470008,100.0,75.97795899,73.43290667,52.52401944,28.38499463,40.94470223,50.46883908,51.146,65.49957568,67.87
Greece,2022,0-100,3_pillars_10_dims,58.56101347,54.37046412,44.70627718,76.60629913,50.0,58.27976131,60.41139333,48.79070184,32.93679059,42.4676456,58.71439534,72.552,73.02129191,84.25
Uruguay,2022,0-100,3_pillars_10_dims,58.2470919,71.1020602,32.2010208,71.43819469,100.0,59.88457245,69.22754667,55.29612168,24.89078869,27.55689055,44.15538317,57.07,73.22508333,84.02
Oman,2022,0-100,3_pillars_10_dims,57.83051152,69.2773661,34.74233619,69.47183227,100.0,56.9796802,74.08539333,46.04439086,20.60205634,34.97904066,48.64591156,56.478,71.38725,80.55
Argentina,2022,0-100,3_pillars_10_dims,57.38681671,65.56243864,33.56401642,73.03399508,100.0,50.89962497,63.78267,47.56745957,24.23108286,33.42866678,43.03229963,72.338,75.39916667,71.36
Philippines,2022,0-100,3_pillars_10_dims,55.41679531,65.02223707,36.33095569,64.89719318,100.0,53.68211009,58.39002333,48.01681483,26.44473314,40.20903783,42.3390961,69.522,58.68466667,66.48
Viet Nam,2022,0-100,3_pillars_10_dims,53.96052747,66.77174652,39.18355431,55.92628157,100.0,52.31665738,66.45079,48.3195387,27.27330789,38.91541276,51.36194227,33.724,66.59175,67.46
Bahrain,2022,0-100,3_pillars_10_dims,53.59440928,45.14264383,36.86687947,78.77370455,0.0,51.95842874,73.39108667,55.22105991,30.09586744,37.10412932,43.40064164,77.41,73.39333333,85.52
Mauritius,2022,0-100,3_pillars_10_dims,53.38242963,68.65330186,31.15803804,60.33594897,100.0,61.1243642,63.63887333,49.84996992,23.46012424,40.13096986,29.88302002,49.787,59.70275,71.52
Romania,2022,0-100,3_pillars_10_dims,53.29633,50.96338485,36.62351692,72.30208822,50.0,57.9507189,52.94634,42.95648051,28.56416708,34.5828996,46.72348406,78.568,67.49197789,70.85
Serbia,2022,0-100,3_pillars_10_dims,52.96174925,68.69780694,35.43763432,54.74980648,100.0,56.20923404,67.98256667,50.59942706,21.57595053,38.82095313,45.9159993,33.406,55.76524867,75.08
Ukraine,2022,0-100,3_pillars_10_dims,52.79602255,68.96089823,34.68382593,54.7433435,100.0,51.28673061,66.06691333,58.48994896,28.92596148,33.73288853,41.39262778,31.62,66.33683333,66.27
Peru,2022,0-100,3_pillars_10_dims,51.97236356,64.50761812,29.87368963,61.53578294,100.0,48.6736596,62.78035667,46.57645623,18.23185918,28.74872379,42.64048591,47.942,63.98950654,72.68
Mexico,2022,0-100,3_pillars_10_dims,51.78355316,43.05477115,38.84596967,73.44991865,0.0,55.3603631,66.15553,50.70319149,26.26612884,39.57887861,50.69290155,71.252,70.6679502,78.43
Jordan,2022,0-100,3_pillars_10_dims,51.76399042,67.54379962,36.19691228,51.55125937,100.0,61.35566697,64.16418333,44.65534817,20.85194814,42.22005518,45.51873352,28.148,52.52235489,73.98
Slovakia,2022,0-100,3_pillars_10_dims,51.22626911,41.70612339,39.20411097,72.76857297,0.0,60.46912475,57.58268333,48.77268547,32.92370336,41.90005797,42.78857159,58.86466667,77.719,81.72
Egypt,2022,0-100,3_pillars_10_dims,49.41720556,63.4604206,36.0745064,48.71668969,100.0,51.4176637,61.10474333,41.31927538,16.82808336,40.97524523,50.42019061,29.242,43.9803633,72.93
Croatia,2022,0-100,3_pillars_10_dims,48.58505521,40.70324542,36.12006008,68.93186012,0.0,56.67370832,60.88303333,45.25624005,26.21444751,38.23271732,43.91301539,75.70266667,57.57764663,73.52
Brunei Darussalam,2022,0-100,3_pillars_10_dims,48.05568313,37.8120077,42.63062801,63.72441366,0.0,24.98437565,61.39172933,64.87192583,30.25581669,44.96527546,52.67079188,46.07733333,63.8279,81.27
South Africa,2022,0-100,3_pillars_10_dims,47.74442738,37.89559783,37.60370819,67.73397613,0.0,57.33388488,55.62073333,38.6277731,26.06393529,41.50121923,45.24597003,74.418,57.355,71.43
Kuwait,2022,0-100,3_pillars_10_dims,47.67990454,37.39529874,34.71754862,70.92686626,0.0,51.09088986,54.91257333,43.57773176,31.85846447,29.80293384,42.49124754,55.298,71.12458333,86.36
Tunisia,2022,0-100,3_pillars_10_dims,46.80606294,48.63096255,36.91763116,54.8695951,50.0,55.27408186,55.66795667,33.58181169,21.27129095,39.73257125,49.7490313,26.25,58.74068608,79.62
North Macedonia,2022,0-100,3_pillars_10_dims,46.10847621,50.66259277,32.0454817,55.61735416,50.0,55.21072993,51.87222333,45.5674178,22.39542454,28.98981872,44.75120186,48.948,49.86031935,68.04
Kazakhstan,2022,0-100,3_pillars_10_dims,45.78086433,48.40344777,29.21669903,59.72244619,0.0,54.18830781,75.67039,63.75509326,15.47775451,33.62597692,38.54636566,30.8,74.10500564,74.26
Lebanon,2022,0-100,3_pillars_10_dims,45.71549399,51.09230569,33.99203086,52.06214542,100.0,40.14201063,39.48011667,24.74709548,22.0425214,32.51623853,47.41733266,25.088,54.81400672,76.28
Azerbaijan,2022,0-100,3_pillars_10_dims,45.55120353,56.85394497,30.58488893,49.21477668,50.0,53.7546611,66.53855333,57.12256546,13.90358976,37.45134723,40.39972981,35.67,48.72483548,63.25
Iran,2022,0-100,3_pillars_10_dims,45.29521769,45.07807283,34.10237904,56.7052012,50.0,47.91255071,53.37808333,29.02165726,18.39479289,37.18405727,46.72828697,49.372,52.571,68.17
Montenegro,2022,0-100,3_pillars_10_dims,45.19895959,39.26106084,33.13110654,63.20471139,0.0,50.15659721,53.9527,52.93494616,27.57755339,29.64005271,42.17571354,54.276,64.83656061,70.5
Andorra,2022,0-100,3_pillars_10_dims,45.15885579,38.57243067,32.58229083,64.32184587,0.0,49.90149327,40.8304832,63.55774622,36.94057597,46.40246789,14.40382863,42.36266667,64.38212774,86.22
Costa Rica,2022,0-100,3_pillars_10_dims,44.96926052,40.3749866,33.02285101,61.50994396,0.0,56.54442238,56.15604333,48.7994807,26.7478699,30.62851525,41.69216788,33.90766667,69.81558333,80.81
Uzbekistan,2022,0-100,3_pillars_10_dims,44.50639995,49.90068196,24.44894346,59.16957444,50.0,46.39491874,62.21581,40.99199911,15.38078248,26.03522864,31.93081926,47.19533333,59.61240312,70.7
Bangladesh,2022,0-100,3_pillars_10_dims,43.62840762,58.4836569,24.80179892,47.59976704,100.0,30.76691052,63.90799,39.25972708,10.21996343,30.47504559,33.71038773,21.628,58.17828203,62.99
Dominican Republic,2022,0-100,3_pillars_10_dims,42.15738701,42.67410553,24.49444042,59.30361507,0.0,54.2731941,59.23108,57.19214804,15.43250407,22.63328704,35.41753015,47.714,53.79943386,76.4
Albania,2022,0-100,3_pillars_10_dims,42.0977979,41.98351276,30.65768329,53.65219765,0.0,52.38493335,61.63351,53.91560768,17.18516264,30.00851956,44.77936766,25.514,64.93964801,70.5
Republic of Moldova,2022,0-100,3_pillars_10_dims,42.03558654,41.75492243,28.26273496,56.08910224,0.0,52.81891211,63.49645667,50.70432093,18.76295621,26.31720559,39.70804308,28.604,66.02359726,73.64
Armenia,2022,0-100,3_pillars_10_dims,41.91047934,43.59290679,31.07471288,51.06381836,0.0,50.36243889,66.47527,57.53391826,20.14038133,29.14180259,43.94195473,32.998,53.72554241,66.47
Fiji,2022,0-100,3_pillars_10_dims,41.75570206,38.57092146,34.33534822,52.3608365,0.0,26.77125748,66.26425,61.24817836,22.42010929,45.27246976,35.31346561,36.51133333,56.04616575,64.53
Panama,2022,0-100,3_pillars_10_dims,41.48689612,38.2939505,29.13833111,57.02840673,0.0,47.46010897,58.54193333,47.17375972,24.71027164,25.12678697,37.57793473,31.05,58.65691667,81.38
Morocco,2022,0-100,3_pillars_10_dims,41.31130191,34.80676446,33.99854277,55.12859851,0.0,52.51812757,45.06245,41.64648028,19.96394417,39.52255246,42.50913168,48.224,49.04325,68.12
Georgia,2022,0-100,3_pillars_10_dims,40.79056687,41.2319953,29.35037138,51.78933392,0.0,56.59282596,53.31195462,55.02320064,18.0855264,30.15795794,39.80762978,33.13092308,53.23208333,69.0
Bahamas,2022,0-100,3_pillars_10_dims,40.74236429,33.95495095,30.54416661,57.72797531,0.0,44.85347978,49.95255889,41.01376514,28.89897728,24.84200856,37.89151399,35.034,55.94253229,82.21
Kenya,2022,0-100,3_pillars_10_dims,40.35660716,40.36149755,28.75953101,51.9487929,0.0,55.52829532,61.64308,44.27461488,12.85325621,39.76892091,33.65641591,46.644,43.3983893,65.8
