pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Belarus,2022,0-100,3_pillars_10_dims,40.27136657,32.35757046,32.30340899,56.15312027,0.0,42.83127815,49.27362128,37.32538239,21.98372631,32.06515528,42.86134539,35.16492308,59.77616724,73.52
Pakistan,2022,0-100,3_pillars_10_dims,40.22052841,44.31974041,34.6735833,41.66826151,50.0,39.8043399,47.50109667,39.97352507,15.6106018,40.28891321,48.1212349,22.122,49.15143839,53.73
Rwanda,2022,0-100,3_pillars_10_dims,40.20366886,53.28252051,28.13515048,39.1933356,50.0,54.55391033,65.91996,42.65621172,8.549937003,41.9655972,33.88991724,21.274,40.37865199,55.93
Seychelles,2022,0-100,3_pillars_10_dims,39.87192314,37.21411347,27.29929483,55.10236111,0.0,36.63409671,48.0125,64.20985718,27.57538878,25.75242729,28.57006843,60.66,49.54472222,
Tonga,2022,0-100,3_pillars_10_dims,39.80367582,36.68004992,32.45978961,50.27118795,0.0,38.66388363,49.07758333,58.9787327,24.73438949,41.64877677,30.99620257,31.63333333,48.64189916,70.54
Barbados,2022,0-100,3_pillars_10_dims,39.53011484,32.77135565,31.41927334,54.39971553,0.0,36.43185251,41.39822556,53.25534455,27.46091633,28.02886575,38.76803793,33.718,54.72500873,74.76
Nigeria,2022,0-100,3_pillars_10_dims,39.10120996,44.90852086,23.08072301,49.31438601,50.0,49.50642619,43.12425667,37.00340056,10.78364717,30.59977979,27.85874209,42.666,30.15144086,75.13
Botswana,2022,0-100,3_pillars_10_dims,38.36432707,33.42458882,26.61474718,55.05364523,0.0,50.02492163,37.46354667,46.20988697,17.85897011,26.89108044,35.09419098,45.594,44.16983333,75.4
Bhutan,2022,0-100,3_pillars_10_dims,37.91424365,37.32929176,26.68834787,49.72509132,0.0,43.29768296,59.45963133,46.55985276,15.08402986,29.04173308,35.93928067,25.7756,62.30319454,61.1
Antigua and Barbuda,2022,0-100,3_pillars_10_dims,37.91159431,32.61527015,25.17542971,55.94408307,0.0,44.60539638,40.20222556,45.65345865,26.19974196,24.84200856,24.48453861,31.044,57.40183333,79.39
Ecuador,2022,0-100,3_pillars_10_dims,37.3586778,36.07303852,26.54753224,49.45546264,0.0,42.66373305,61.71278,39.91564102,19.67357448,25.9172344,34.05178785,25.53766667,54.94316751,67.89
Mongolia,2022,0-100,3_pillars_10_dims,37.21364782,35.20881506,26.6769265,49.7552019,0.0,43.06389144,58.58308333,39.18828546,18.25730489,24.84911083,36.92436378,26.914,62.05666667,60.29
Jamaica,2022,0-100,3_pillars_10_dims,37.09045226,34.29816198,29.98754095,46.98565384,0.0,46.03579032,42.8036,48.35325761,23.73765552,29.81995371,36.40501363,27.456,41.45601675,72.04
Ghana,2022,0-100,3_pillars_10_dims,36.56305785,47.22058769,22.81851736,39.65006852,50.0,59.05729606,48.33358333,31.49147135,8.532688433,32.84449338,27.07837026,25.302,34.71478347,58.93
Sri Lanka,2022,0-100,3_pillars_10_dims,36.23061644,30.18841318,30.91652088,47.58691527,0.0,28.90335178,63.00415333,28.84614759,22.36471553,29.96591701,40.4189301,28.768,55.07658333,58.92
Trinidad and Tobago,2022,0-100,3_pillars_10_dims,36.1712009,30.13839706,28.43648047,49.93872516,0.0,42.75093195,37.79652333,40.00613294,22.17417889,23.33033371,39.80492882,27.726,44.09,78.0
Saint Lucia,2022,0-100,3_pillars_10_dims,35.85863778,29.78458801,27.49595936,50.29536597,0.0,43.03697506,40.284455,35.81692198,21.18784002,24.43995371,36.86008434,27.79533333,55.3491203,67.74
Benin,2022,0-100,3_pillars_10_dims,35.83543571,48.39553051,22.98781191,36.12296472,50.0,51.58267317,50.10144333,41.89800553,8.741841821,23.91085982,36.31073407,18.032,25.60004724,64.74
Tajikistan,2022,0-100,3_pillars_10_dims,35.83071587,41.80757544,19.78529365,45.89927851,50.0,35.36723352,35.98107,45.88199825,5.851347035,24.4279942,29.07653971,40.784,42.76666355,54.15
Paraguay,2022,0-100,3_pillars_10_dims,35.45868855,36.77186838,21.44232117,48.1618761,0.0,48.13994591,47.21385333,51.73367426,13.77111109,19.67987054,30.8759819,25.116,46.39332709,72.98
Algeria,2022,0-100,3_pillars_10_dims,35.32545863,30.16661684,29.93052253,45.87923652,0.0,39.5384781,45.09685333,36.03113593,11.18686347,35.99262538,42.61207873,27.816,47.62052051,62.2
Bosnia and Herzegovina,2022,0-100,3_pillars_10_dims,35.16653037,26.69570084,27.98356209,50.82032818,0.0,39.21486623,33.26801333,34.2999238,18.78028849,21.8557859,43.31461187,28.978,50.15821838,73.32
Suriname,2022,0-100,3_pillars_10_dims,35.10760082,29.58735405,26.08858149,49.64686693,0.0,45.13325339,30.04778833,43.16837445,19.31225691,24.43995371,34.51353385,30.60733333,51.82629762,66.51
Guatemala,2022,0-100,3_pillars_10_dims,34.92596868,29.60095971,23.07417313,52.10277321,0.0,38.55506503,39.9997,39.84907381,16.6247272,22.4558335,30.14195868,44.424,46.33716044,65.55
Namibia,2022,0-100,3_pillars_10_dims,34.56777823,29.16550661,26.58428787,47.95354021,0.0,32.94028045,40.99158667,42.73015932,16.74620522,30.4445807,32.56207769,25.89,51.46272802,66.51
Senegal,2022,0-100,3_pillars_10_dims,34.51097098,35.00762967,27.24784581,41.27743747,0.0,47.64372886,40.87824333,51.5085465,16.65247903,35.15013972,29.94091868,25.536,32.13887031,66.16
Grenada,2022,0-100,3_pillars_10_dims,34.39033175,27.41171407,24.68932502,51.06995617,0.0,22.20403371,39.79712167,47.6457009,21.28792219,24.43995371,28.34009917,31.12533333,49.82820946,72.26
Cabo Verde,2022,0-100,3_pillars_10_dims,34.27404409,35.90971325,24.45425632,42.45816271,0.0,44.79589937,55.65144667,43.19150696,16.86122199,18.8882612,37.61328577,23.52927273,39.92713792,63.92
Kyrgyzstan,2022,0-100,3_pillars_10_dims,33.90924499,33.73350051,22.4902151,45.50401936,0.0,44.25830661,42.98878,47.68691542,12.33253403,22.09097432,33.04713694,23.326,53.2865,59.9
Saint Vincent and the Grenadines,2022,0-100,3_pillars_10_dims,33.70891003,30.21396892,23.94199382,46.97076736,0.0,33.33299514,38.00378833,49.5190922,20.59419367,24.43995371,26.79183409,27.40133333,47.39373892,66.12
Maldives,2022,0-100,3_pillars_10_dims,33.53552338,33.68188379,15.16006177,51.76462457,0.0,24.545076,52.4545,57.72795916,24.58453902,0.0,20.89564629,52.81666667,61.324375,41.15
Guyana,2022,0-100,3_pillars_10_dims,33.51820323,29.25957345,23.93356738,47.36146885,0.0,43.99451354,37.53412167,35.50965859,17.63556664,24.43995371,29.7251818,25.71533333,46.36523144,70.0
Uganda,2022,0-100,3_pillars_10_dims,32.65923191,37.77973358,19.49366267,40.70429948,0.0,47.68268008,55.87406,47.56219424,5.067074291,26.6779564,26.73595731,25.624,36.37168423,60.12
Bolivia,2022,0-100,3_pillars_10_dims,32.55578829,27.79543628,20.55823716,49.31369143,0.0,36.05498374,41.45586,33.67090138,13.23643872,15.5352961,32.90297665,24.036,61.49787635,62.41
United Republic of Tanzania,2022,0-100,3_pillars_10_dims,32.49772202,35.43252165,20.04908872,42.01155569,0.0,44.47611418,56.60135,40.65262241,5.057674385,30.25656484,24.83302694,39.112,29.00888495,57.91
Myanmar,2022,0-100,3_pillars_10_dims,32.44565026,24.25865227,25.90623897,47.17205953,0.0,29.48623523,31.29415333,36.25422052,10.85267264,25.75049008,41.11555421,27.92666667,50.06423765,63.53
Gabon,2022,0-100,3_pillars_10_dims,32.42445285,25.31424573,26.3345793,45.62453352,0.0,37.07793214,31.79185167,32.38719911,21.04351233,27.82326831,30.13695727,27.944,38.90425,70.03
Turkmenistan,2022,0-100,3_pillars_10_dims,31.94984039,22.4336096,29.42854706,43.9873645,0.0,34.28979039,30.16862128,25.27602673,22.53182869,29.33918375,36.41462873,25.41492308,34.47416667,72.07
Lao People's Democratic Republic,2022,0-100,3_pillars_10_dims,31.71862863,29.6368339,21.46088557,44.05816643,0.0,36.50781473,38.33007667,43.70944419,15.90673204,17.9812709,30.49465377,22.408,40.81554865,68.95
Cuba,2022,0-100,3_pillars_10_dims,31.5867537,24.36882628,27.04447266,43.34696216,0.0,23.43732998,28.004455,46.03352016,21.45280626,32.44499255,27.23561917,21.16366667,39.47089411,69.41
Iraq,2022,0-100,3_pillars_10_dims,31.52182498,21.01357138,27.18482757,46.36707599,0.0,28.74853782,25.68448333,29.62126438,18.69624196,31.95760716,30.9006336,27.432,45.76539458,65.9
Cambodia,2022,0-100,3_pillars_10_dims,31.1652904,27.95633432,21.14028522,44.39925165,0.0,36.35782921,47.65460333,27.81290472,12.57182244,24.90535067,25.94368255,24.962,39.69551182,68.54
Vanuatu,2022,0-100,3_pillars_10_dims,31.10658853,27.0300747,22.7643215,43.52536941,0.0,24.20163197,41.98582,41.93284682,22.10678386,15.25960423,30.92657639,26.08666667,38.06945483,66.42
Honduras,2022,0-100,3_pillars_10_dims,31.04337178,26.23285731,24.83343318,42.06382484,0.0,36.52138347,27.17055333,41.23949244,18.36365534,23.05436133,33.08228288,20.357,41.16211123,64.67
El Salvador,2022,0-100,3_pillars_10_dims,30.95748673,23.33612112,22.75668492,46.77965414,0.0,27.85425535,42.10658,23.38364912,17.85954923,20.69116324,29.71934229,25.336,49.28066667,65.72
Côte D'Ivoire,2022,0-100,3_pillars_10_dims,30.95367673,31.42174601,21.62430561,39.81497857,0.0,50.7110207,43.80282667,31.17313666,11.1732416,25.95266232,27.7470129,24.43,34.60166667,60.41
Timor-Leste,2022,0-100,3_pillars_10_dims,30.86326755,25.49804773,21.86635451,45.22540042,0.0,21.53805987,39.85648667,40.59764437,11.76683836,24.72429718,29.10792798,23.91266667,44.23846058,67.53
Cameroon,2022,0-100,3_pillars_10_dims,30.76487031,31.31477812,22.69682714,38.28300568,0.0,42.52180727,36.96096333,45.77634189,11.54496648,26.86955282,29.67596213,20.932,27.72964673,66.19
Nepal,2022,0-100,3_pillars_10_dims,30.75440133,30.88235512,23.49741367,37.88343519,0.0,45.27271368,42.60262667,35.65408012,9.75004131,26.30556889,34.43663081,22.656,40.41716667,50.58
Solomon Islands,2022,0-100,3_pillars_10_dims,30.57767234,25.0280327,22.80645295,43.89853138,0.0,22.142095,38.39182,39.5782158,15.84498414,23.32246138,29.25191332,20.60866667,36.76899727,74.32
Papua New Guinea,2022,0-100,3_pillars_10_dims,30.5489561,27.18948066,21.84608099,42.61130665,0.0,24.2076507,44.81082,39.73945192,13.89957619,22.89101278,28.747654,19.49266667,33.65761186,74.68
Samoa,2022,0-100,3_pillars_10_dims,30.11334049,28.56782033,22.16191374,39.6102874,0.0,27.62040971,38.04082,48.61005159,18.89984311,23.32246138,24.26343673,19.74866667,34.23415017,64.85
Belize,2022,0-100,3_pillars_10_dims,29.98340518,20.66858758,24.3903524,44.89127557,0.0,19.88685869,30.49722,32.29027163,19.72455453,16.0892961,37.35720656,21.049,51.71554211,61.91
Djibouti,2022,0-100,3_pillars_10_dims,29.84752363,19.89270234,28.99023064,40.6596379,0.0,12.85315351,32.86041733,33.8572385,21.55579498,27.32377531,38.09112164,20.7672,31.00408507,70.21
Togo,2022,0-100,3_pillars_10_dims,29.8249018,29.64963065,19.42593283,40.39914193,0.0,40.5614865,34.01258795,44.02444816,8.869857208,22.29525037,27.11269091,37.00878322,29.35088938,54.84
Zambia,2022,0-100,3_pillars_10_dims,29.63139333,31.55205028,19.59174691,37.75038278,0.0,49.2639456,42.40139333,34.5428622,7.65413033,25.0458812,26.0752292,19.046,31.4889313,62.72
Venezuela,2022,0-100,3_pillars_10_dims,29.32769227,17.62272778,26.40709415,43.95325488,0.0,11.83666664,31.886455,26.76778949,15.98238904,29.53811584,33.70077758,22.52366667,40.08001163,69.26
Zimbabwe,2022,0-100,3_pillars_10_dims,29.26484257,24.24929831,20.29389312,43.25133628,0.0,37.79518777,31.73772333,27.46428214,11.75010429,17.96269563,31.16887945,38.912,36.21527221,54.63
Libya,2022,0-100,3_pillars_10_dims,28.8386696,16.52186281,27.9841944,42.00995158,0.0,18.3627245,20.97648333,26.74824341,18.77692825,34.82316686,30.35248808,20.232,33.82747205,71.97
Mauritania,2022,0-100,3_pillars_10_dims,28.40270536,21.79040339,19.57288566,43.84482704,0.0,34.79917507,24.66389976,27.69853873,9.080947611,19.45755056,30.18015881,21.97955844,33.93284091,75.62
Nicaragua,2022,0-100,3_pillars_10_dims,28.33073126,24.58503828,21.29809793,39.10905756,0.0,32.33600168,35.27322,30.73093143,14.69164382,18.5060398,30.69661017,21.859,35.90129722,59.57
Madagascar,2022,0-100,3_pillars_10_dims,28.2580958,25.10244127,19.50986936,40.16197676,0.0,40.68659343,32.33478667,27.388385,7.105847209,24.01652353,27.40723734,34.97,23.01990806,62.5
Gambia,2022,0-100,3_pillars_10_dims,27.96448778,25.20937003,20.73999254,37.94410077,0.0,43.52997389,26.12576667,31.18173957,6.537926634,20.05863319,35.6234178,23.19909091,37.46972215,53.16
Kiribati,2022,0-100,3_pillars_10_dims,27.81847565,26.50864314,18.33857156,38.60821227,0.0,26.03315881,34.39915333,45.60226041,16.79141658,23.32246138,14.90183673,21.69266667,26.44877979,67.68
Guinea,2022,0-100,3_pillars_10_dims,27.81521975,26.32642284,19.94425872,37.17497771,0.0,36.71981674,33.8495,34.73637461,8.343451102,26.57142076,24.91790428,21.16709091,31.06912125,59.29
Sao Tome and Principe,2022,0-100,3_pillars_10_dims,27.62111982,25.88940171,20.74536846,36.22858929,0.0,41.78685962,26.21689976,35.55384745,12.8761648,22.07902402,27.28091656,19.11955844,25.3424637,64.22
Mali,2022,0-100,3_pillars_10_dims,27.33914838,24.82827613,19.43419525,37.75497377,0.0,36.55800053,34.43248667,28.32261733,10.74166657,21.82282429,25.7380949,19.316,33.29645548,60.65
Congo,2022,0-100,3_pillars_10_dims,26.20229526,23.33285462,18.63822597,36.63580518,0.0,35.25438488,27.96889976,30.10813385,12.02934749,22.07902402,21.80630639,17.02355844,26.28840955,66.6
Burkina Faso,2022,0-100,3_pillars_10_dims,26.20130301,27.79493174,16.47927108,34.32970619,0.0,45.94111948,37.92585,27.31275749,7.702524982,22.00187583,19.73341244,14.33,39.38361017,49.28
Lesotho,2022,0-100,3_pillars_10_dims,26.13355368,25.81373898,19.06816847,33.51875359,0.0,41.2963778,27.035,34.92357813,10.40048644,22.33943247,24.4645865,14.23927273,24.11722378,62.2
Eswatini,2022,0-100,3_pillars_10_dims,25.45708209,23.06173257,15.64757143,37.66194225,0.0,23.1546023,34.60188,34.490448,12.19910616,18.67169544,16.07191269,18.21927273,29.95351425,64.81
Ethiopia,2022,0-100,3_pillars_10_dims,25.30098938,25.1468315,19.70338128,31.05275538,0.0,28.08110331,38.34888667,34.15733601,6.440431261,25.8262098,26.84350277,14.86,22.53316757,55.77
Angola,2022,0-100,3_pillars_10_dims,24.76924364,21.33362502,14.98163928,37.99246663,0.0,32.25020912,33.00574,20.07855097,10.05020163,10.7763773,24.11833892,13.97,29.16358693,70.84
Sierra Leone,2022,0-100,3_pillars_10_dims,24.49171892,22.45718798,17.8420762,33.17589257,0.0,21.90840631,29.67792128,38.24242433,4.398147605,23.67171811,25.4563629,16.59078322,28.34666746,54.59
Malawi,2022,0-100,3_pillars_10_dims,24.459898,21.88389761,17.16847091,34.32732546,0.0,33.74499136,25.94425333,27.84634577,6.818272361,21.07325657,23.61388381,13.462,28.23371769,61.29
Comoros,2022,0-100,3_pillars_10_dims,23.81933921,16.37579986,19.93367545,35.14854233,0.0,15.04496306,21.94389976,28.51433664,11.95754091,22.07902402,25.76446141,19.28355844,30.96540756,55.2
Niger,2022,0-100,3_pillars_10_dims,23.72363429,25.6262542,16.14710711,29.39754157,0.0,37.82436938,30.47558795,34.20505947,6.268087221,24.56131087,17.61192323,14.11278322,25.58780478,48.49
Guinea Bissau,2022,0-100,3_pillars_10_dims,22.82405378,16.2931189,18.62602104,33.55302139,0.0,18.1256721,18.23725462,28.80954887,9.315683534,22.2698823,24.2924973,18.25678322,29.34895445,53.05
Sudan,2022,0-100,3_pillars_10_dims,22.5547595,16.54640817,21.15960483,29.95826551,0.0,18.23426531,20.56592128,27.38544609,3.765388045,25.89357529,33.81985115,16.12169231,19.427139,54.33
Mozambique,2022,0-100,3_pillars_10_dims,22.54020961,21.38264467,16.06543379,30.17255038,0.0,29.36199899,30.94708,25.22149968,7.050181139,20.50618901,20.63993122,13.212,18.25219387,59.05
Liberia,2022,0-100,3_pillars_10_dims,22.09001172,19.75555304,18.44706235,28.06741976,0.0,18.96038014,29.90258795,30.15924406,7.323057465,22.2698823,25.7482473,13.41369231,17.6334919,53.16
Chad,2022,0-100,3_pillars_10_dims,20.57569578,21.02716014,15.20805698,25.49187022,0.0,37.29121035,21.22472333,25.59270686,6.966894113,15.90288007,22.75439677,10.12509091,21.70961066,44.64
Burundi,2022,0-100,3_pillars_10_dims,20.52919336,18.72155933,15.89109458,26.97492616,0.0,12.57348168,32.11498333,30.19777231,4.921295874,23.48571665,19.26627121,13.33109091,22.95277847,44.64
Democratic Republic of the Congo,2022,0-100,3_pillars_10_dims,20.21793742,18.66850347,14.15597096,27.82933784,0.0,31.45730501,22.13897333,21.07773555,2.506644266,20.25363853,19.70763008,9.328,16.9926761,57.17
Eritrea,2022,0-100,3_pillars_10_dims,20.16632518,11.52665277,18.53254574,30.43977703,0.0,9.707073044,9.276254615,27.1232834,7.323057465,22.2698823,26.00469745,12.98678322,23.71340256,54.62
Central African Republic,2022,0-100,3_pillars_10_dims,19.90049863,14.50047077,17.36244365,27.83858148,0.0,12.96663406,17.69492128,27.34032776,5.768627889,22.2698823,24.04882075,12.97878322,21.19345404,49.34
South Sudan,2022,0-100,3_pillars_10_dims,19.45429849,14.44581269,16.89675204,27.02033075,0.0,21.34492486,14.02025462,22.41807129,4.262126757,22.2698823,24.15824707,11.31278322,14.0187942,55.73
Haiti,2022,0-100,3_pillars_10_dims,18.60688175,9.71664275,15.10725259,30.99674992,0.0,12.80993759,14.17455333,11.88208008,13.2343778,6.825296105,25.26208386,18.577,18.86185722,55.55
Yemen,2022,0-100,3_pillars_10_dims,17.3219318,18.3893155,22.04606002,11.53041988,0.0,26.20321663,34.456,12.89804539,6.672094055,24.03011249,35.43597351,5.57,24.31193814,4.71
Syrian Arab Republic,2022,0-100,3_pillars_10_dims,16.04024825,13.72260894,19.10012821,15.2980076,0.0,9.702561962,26.643,18.5448738,6.756555884,17.720824,32.82300476,11.93666667,29.24803463,4.71
Afghanistan,2022,0-100,3_pillars_10_dims,13.45795858,14.45917285,10.7048567,15.20984618,0.0,5.94558363,34.5785,17.31260777,6.740842412,19.67725327,5.696474424,6.223333333,31.50598433,7.9
