% of Respondents,Geographic Area,Label
0.88,All geographies,2025
0.82,Asia-Pacific,2025
0.91,Europe,2025
0.9,North America,2025
0.88,"Greater China (incl. Hong Kong, Taiwan, Macau)",2025
0.88,"Developing markets (incl. India, Central/South America, MENA)",2025
0.78,All geographies,2024
0.72,Asia-Pacific,2024
0.8,Europe,2024
0.82,North America,2024
0.75,"Greater China (incl. Hong Kong, Taiwan, Macau)",2024
0.77,"Developing markets (incl. India, Central/South America, MENA)",2024
0.55,All geographies,2023
0.58,Asia-Pacific,2023
0.57,Europe,2023
0.61,North America,2023
0.48,"Greater China (incl. Hong Kong, Taiwan, Macau)",2023
0.49,"Developing markets (incl. India, Central/South America, MENA)",2023