Year,Public spending on AI-related grants (% of total),Label
2013,0.160748216,Department of Defense
2014,0.168339893,Department of Defense
2015,0.116635278,Department of Defense
2016,0.180662051,Department of Defense
2017,0.196699266,Department of Defense
2018,0.159611844,Department of Defense
2019,0.150386895,Department of Defense
2020,0.152617713,Department of Defense
2021,0.06018041,Department of Defense
2022,0.040299908,Department of Defense
2023,0.032609364,Department of Defense
2024,0.022231506,Department of Defense
2013,0.014765572,Department of Agriculture
2014,0.000788167,Department of Agriculture
2015,0.00159559,Department of Agriculture
2016,0.023900797,Department of Agriculture
2017,0.029866923,Department of Agriculture
2018,0.059060712,Department of Agriculture
2019,0.03709016,Department of Agriculture
2020,0.094015246,Department of Agriculture
2021,0.037068292,Department of Agriculture
2022,0.020125986,Department of Agriculture
2023,0.041357529,Department of Agriculture
2024,0.033451974,Department of Agriculture
2013,0.02207741,Other
2014,0.030641503,Other
2015,0.053662715,Other
2016,0.054500785,Other
2017,0.114083328,Other
2018,0.115357587,Other
2019,0.106507159,Other
2020,0.078770087,Other
2021,0.026739382,Other
2022,0.024581656,Other
2023,0.027364349,Other
2024,0.037360615,Other
2013,0.005699346,Department of Commerce
2014,0.21175686,Department of Commerce
2015,0.210554708,Department of Commerce
2016,0.167191312,Department of Commerce
2017,0.096981166,Department of Commerce
2018,0.154564744,Department of Commerce
2019,0.142945737,Department of Commerce
2020,0.117712775,Department of Commerce
2021,0.091872435,Department of Commerce
2022,0.073176289,Department of Commerce
2023,0.058237361,Department of Commerce
2024,0.052998039,Department of Commerce
2013,0.068064669,Department of Energy
2014,0,Department of Energy
2015,0.029308781,Department of Energy
2016,0.044047417,Department of Energy
2017,0.012073323,Department of Energy
2018,0.056666829,Department of Energy
2019,0.076504182,Department of Energy
2020,0.073055309,Department of Energy
2021,0.034020477,Department of Energy
2022,0.014706512,Department of Energy
2023,0.017811798,Department of Energy
2024,0.06151538,Department of Energy
2013,0.531180718,National Science Foundation
2014,0.420764257,National Science Foundation
2015,0.482597908,National Science Foundation
2016,0.354636833,National Science Foundation
2017,0.388619611,National Science Foundation
2018,0.29513626,National Science Foundation
2019,0.32014748,National Science Foundation
2020,0.249115578,National Science Foundation
2021,0.13541771,National Science Foundation
2022,0.417865077,National Science Foundation
2023,0.427311545,National Science Foundation
2024,0.376187039,National Science Foundation
2013,0.197464069,Department of Health and Human Services
2014,0.16770932,Department of Health and Human Services
2015,0.105645021,Department of Health and Human Services
2016,0.175060805,Department of Health and Human Services
2017,0.161676384,Department of Health and Human Services
2018,0.159602023,Department of Health and Human Services
2019,0.166418386,Department of Health and Human Services
2020,0.234713292,Department of Health and Human Services
2021,0.614701294,Department of Health and Human Services
2022,0.409244573,Department of Health and Human Services
2023,0.395308054,Department of Health and Human Services
2024,0.416255448,Department of Health and Human Services