% of respondents,Country,Year
0.31,United States,2025
0.32,Japan,2025
0.33,Hungary,2025
0.39,Great Britain,2025
0.4,Canada,2025
0.42,France,2025
0.46,Sweden,2025
0.46,Australia,2025
0.46,South Korea,2025
0.48,Brazil,2025
0.48,Netherlands,2025
0.48,Turkey,2025
0.49,Belgium,2025
0.49,Germany,2025
0.49,Ireland,2025
0.5,Italy,2025
0.54,Global,2025
0.55,South Africa,2025
0.55,Spain,2025
0.55,Switzerland,2025
0.61,Peru,2025
0.61,Poland,2025
0.61,Argentina,2025
0.65,India,2025
0.66,Colombia,2025
0.67,Mexico,2025
0.67,Chile,2025
0.7,Thailand,2025
0.73,Malaysia,2025
0.76,Indonesia,2025
0.81,Singapore,2025